
Standing|Region|Team|KDA Ratio|Gold/Min|Minions Killed|Champions Killed|Total Gold in Millions|Wins|Losses
1|NA|Cloud9|3.77|1695.1|1103.2|12.14|1.83|18|10
1|NA|LMQ|3.78|1702.4|1070.5|14.29|1.8|18|10
3|NA|Team SoloMid|4.31|1646.2|1127.4|11.68|1.83|16|12
4|NA|Curse|4.04|1617.8|1163.3|12.68|1.85|13|15
4|NA|Counter Logic Gaming|3.29|1615.8|988.3|12.18|1.63|13|15
4|NA|Team Dignitas|3.49|1625|1077.9|11.04|1.76|13|15
7|NA|Evil Geniuses|3.4|1593.3|1094.6|11.57|1.74|11|17
8|NA|compLexity|2.07|1572.1|1149.8|9.64|1.81|10|18
1|EU|Alliance|4.85|1704.3|1167.9|14.21|1.94|21|7
2|EU|Fnatic|5.85|1732.3|1139.6|14.96|1.93|19|9
3|EU|Supa Hot Crew|3.69|1654.8|1219.3|12.5|1.93|16|12
4|EU|SK Gaming|3.3|1653.2|1089.2|12.64|1.77|15|13
5|EU|Millenium|3.4|1623.6|1086.3|16.68|1.86|13|15
6|EU|ROCCAT|3.11|1567.2|1127|9.93|1.76|12|16
7|EU|Copenhagen Wolves|2.21|1532.7|967.2|11.54|1.55|8|20
7|EU|Gambit Gaming|2.32|1503.6|1109.5|10.18|1.7|8|20
